السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت
2023,1,منطقة مكة المكرمة,صناعة الآلات والمعدات غير المصنفة في موضع أخر,83,37,18,2,140
2023,1,منطقة مكة المكرمة,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,41,15,9,1,66
2023,1,منطقة مكة المكرمة,صناعة معدات النقل الأخرى,28,5,3,0,36
2023,1,منطقة مكة المكرمة,صنع الأثاث,739,115,32,1,887
2023,1,منطقة مكة المكرمة,صنع الحواسيب والمنتجات الإلكترونية والبصرية,122,20,2,1,145
2023,1,منطقة مكة المكرمة,صنع الفلزات القاعدية,174,88,32,12,306
2023,1,منطقة مكة المكرمة,صنع المعدات الكهربائية,136,45,10,2,193
2023,1,منطقة مكة المكرمة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,33,16,7,2,58
2023,1,منطقة مكة المكرمة,صنع فحم الكوك والمنتجات النفطية المكررة,18,19,5,4,46
2023,1,منطقة مكة المكرمة,صنع منتجات المطاط واللدائن,77,86,34,12,209
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن اللافلزية الأخرى,511,268,101,16,896
2023,1,منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),2173,374,77,9,2633
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,6265,111,2,1,6379
2023,1,منطقة مكة المكرمة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,721,200,12,1,934
2023,1,منطقة مكة المكرمة,غير معرف,15906,411,8,0,16325
2023,1,منطقة نجران,أبحاث الإعلان والسوق,45,9,0,0,54
2023,1,منطقة نجران,استخراج النفط الخام والغاز الطبيعي,6,2,0,0,8
2023,1,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,213,43,5,0,261
2023,1,منطقة نجران,إصلاح وتركيب الآلات والمعدات,59,2,1,0,62
2023,1,منطقة نجران,الاتصالات,11,1,0,0,12
2023,1,منطقة نجران,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,15,0,0,0,15
2023,1,منطقة نجران,الإقامة,106,21,1,0,128
2023,1,منطقة نجران,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,2
2023,1,منطقة نجران,الأنشطة الأخرى للتعدين واستغلال المحاجر,15,8,0,0,23
2023,1,منطقة نجران,"الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال",104,3,0,0,107
2023,1,منطقة نجران,الأنشطة الإيجارية,1234,40,0,0,1274
2023,1,منطقة نجران,الأنشطة البيطرية,11,0,0,0,11
2023,1,منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,41,16,0,0,57
2023,1,منطقة نجران,الأنشطة العقارية,66,7,0,0,73
2023,1,منطقة نجران,الأنشطة القانونية وأنشطة المحاسبة,37,3,0,0,40
2023,1,منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2,1,0,0,3
2023,1,منطقة نجران,الأنشطة المهنية والعلمية والتقنية الأخرى,31,0,0,0,31
2023,1,منطقة نجران,التخزين وأنشطة الدعم للنقل,505,48,0,0,553
2023,1,منطقة نجران,التعليم,94,21,5,0,120
2023,1,منطقة نجران,الرعاية مع الإقامة,0,1,0,0,1
2023,1,منطقة نجران,الصحة البشرية,37,62,7,3,109
2023,1,منطقة نجران,الصرف الصحي,3,0,0,0,3
2023,1,منطقة نجران,الصناعة التحويلية الأخرى,5,2,0,0,7
2023,1,منطقة نجران,الطباعة واستنساخ وسائط الأعلام المسجّلة,9,1,0,0,10
2023,1,منطقة نجران,النقل البري و النقل عبر الأنابيب,995,103,5,0,1103
2023,1,منطقة نجران,النقل الجوي,2,0,0,0,2
2023,1,منطقة نجران,النقل المائي,5,1,0,0,6
2023,1,منطقة نجران,الهندسة المدنية,61,21,9,6,97
2023,1,منطقة نجران,أنشطة الاستخدام,53,5,2,0,60
2023,1,منطقة نجران,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1
2023,1,منطقة نجران,أنشطة الأمن والتحقيقات,2,0,1,0,3
2023,1,منطقة نجران,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,11,0,0,0,11
2023,1,منطقة نجران,أنشطة البرمجة والإذاعة,1,0,0,0,1
2023,1,منطقة نجران,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,3,0,0,0,3
2023,1,منطقة نجران,أنشطة التشييد المتخصصة,1092,89,9,3,1193
2023,1,منطقة نجران,أنشطة الخدمات الشخصية الأخرى,935,23,0,0,958
2023,1,منطقة نجران,"أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات",11,1,0,0,12
2023,1,منطقة نجران,"أنشطة العمل الاجتماعي، دون إقامة",35,12,0,0,47
2023,1,منطقة نجران,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,0,0,0,1
2023,1,منطقة نجران,"أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل",155,15,0,0,170
2023,1,منطقة نجران,"أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة",4,0,0,0,4
2023,1,منطقة نجران,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,6
2023,1,منطقة نجران,أنشطة المنظمات ذات العضوية,30,2,0,0,32
2023,1,منطقة نجران,أنشطة النشر,2,0,1,0,3
2023,1,منطقة نجران,أنشطة تقديم الخدمات للمباني وتجميل المواقع,167,40,16,8,231
2023,1,منطقة نجران,"أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد",12,1,0,0,13
2023,1,منطقة نجران,أنشطة خدمات الأطعمة والمشروبات,1623,217,8,1,1849
2023,1,منطقة نجران,أنشطة خدمات المعلومات,1,0,0,0,1
2023,1,منطقة نجران,أنشطة خدمات دعم التعدين,1,0,0,0,1
2023,1,منطقة نجران,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,703,19,2,0,724
2023,1,منطقة نجران,"تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية",2678,308,9,0,2995
2023,1,منطقة نجران,"تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية",627,106,6,0,739
2023,1,منطقة نجران,"تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية",914,97,3,0,1014
